S_1_1	aB	4_1
S_3_1	abbcbdccdEGh	11n143
S_3_1	abcDegHCd	11n144
S_3_1	abcBdcEGh	11n145
S_3_1	abcBegHCD	11n146
S_3_1	abAcBcDCEgH	11n154
S_3_1	abbcHCBDCedH	11n156
S_3_1	abAcBdCegHCdE	11n157
S_3_1	abAcbdCBGhCDE	11n159
S_3_1	abAcBeGhCCd	11n160
S_3_1	abAbcbDCeH	11n163
S_3_1	abacbhCBDCed	11n164
S_3_1	abacbHCBDCeD	11n165
S_3_1	abAcbdCEDGh	11n167
S_3_1	abAbcBDCEH	11n168
S_3_1	abcBdCEGh	11n172
S_3_1	abAcbdCegHCDE	11n176
S_3_1	abAcBEhCCd	11n179
S_3_1	abacbhCBdCed	11n183
S_3_1	abCBEhCd	12a0125
S_3_1	aBcDeH	12a0181
S_3_1	aBcDeF	12a0477
S_3_1	abAcBdEDcHCd	12a1124
S_3_1	abcBDCEgH	12n0001
S_3_1	abcBdCEgH	12n0003
S_3_1	abCBEghcD	12n0004
S_3_1	abCBDcegH	12n0005
S_3_1	abcbdCeGH	12n0007
S_3_1	abcbDCeGH	12n0009
S_3_1	abCBdcegH	12n0010
S_3_1	abCBeghCD	12n0014
S_3_1	abCBdCEgH	12n0015
S_3_1	abCBdCEH	12n0017
S_3_1	abCBDceH	12n0018
S_3_1	abCBDCEgH	12n0019
S_3_1	abcbDCegH	12n0020
S_3_1	abcBdCEGH	12n0024
S_3_1	aBCDegh	12n0035
S_3_1	aBCdEgH	12n0036
S_3_1	abCDegh	12n0038
S_3_1	abCdEgH	12n0039
S_3_1	aBCDEgH	12n0041
S_3_1	abcDEgH	12n0042
S_3_1	abcdEgH	12n0044
S_3_1	abCDEgH	12n0045
S_3_1	abAbCDeh	12n0052
S_3_1	abcDegh	12n0054
S_3_1	abCBEGhcd	12n0069
S_3_1	abCBdceGH	12n0070
S_3_1	abcBDcegH	12n0072
S_3_1	abcBEghcD	12n0073
S_3_1	abcBdceGGH	12n0076
S_3_1	abCBEGhcD	12n0097
S_3_1	abAbcDcEHC	12n0101
S_3_1	abAbcdceHC	12n0102
S_3_1	abcBdcegH	12n0119
S_3_1	abcBEGEhcD	12n0120
S_3_1	abAbcDCegHC	12n0140
S_3_1	abAbcdgHCDE	12n0141
S_3_1	abcDCBedcgH	12n0142
S_3_1	abcBdceDgeH	12n0143
S_3_1	abcBdCEDgEh	12n0144
S_3_1	abcBcdef	12n0148
S_3_1	aBCdEGh	12n0151
S_3_1	aBCdeGH	12n0152
S_3_1	abAbCDegH	12n0157
S_3_1	abAbCDEgh	12n0158
S_3_1	aBcDEGh	12n0160
S_3_1	aBcdeGH	12n0161
S_3_1	aBcdEGh	12n0162
S_3_1	abCdEGh	12n0164
S_3_1	abCdeGH	12n0165
S_3_1	abcdeGGH	12n0168
S_3_1	abcBcDEH	12n0178
S_3_1	abcBcdeH	12n0179
S_3_1	abcBcDegH	12n0183
S_3_1	abcBcDEgh	12n0184
S_3_1	aBCDEGh	12n0198
S_3_1	abcDEDGh	12n0199
S_3_1	abAbCdeh	12n0204
S_3_1	abAbCdegH	12n0211
S_3_1	abCDEGh	12n0218
S_3_1	abCBDCeH	12n0230
S_3_1	abAbCdEH	12n0269
S_3_1	abcDCBGHcdE	12n0271
S_3_1	abcBdCEDgeH	12n0272
S_3_1	abcBdceDgEh	12n0273
S_3_1	abAcbdCdef	12n0276
S_3_1	aBccDCEgH	12n0280
S_3_1	aBccDCegH	12n0281
S_3_1	aabAcBegHCD	12n0284
S_3_1	aabAcBEgHCD	12n0285
S_3_1	abcBdeGHcH	12n0290
S_3_1	abcDCBGhCdE	12n0295
S_3_1	abAbcbDCEgH	12n0298
S_3_1	abcBdeHCDeG	12n0300
S_3_1	abAbCdeF	12n0302
S_3_1	abcdeGHH	12n0303
S_3_1	abcdEGhh	12n0309
S_3_1	aBcDegHCD	12n0312
S_3_1	abacbgHCBDCed	12n0314
S_3_1	abAcBEGhCCd	12n0315
S_3_1	abcBdceGHH	12n0316
S_3_1	abcBBEGhcd	12n0318
S_3_1	abAbcdeh	12n0329
S_3_1	abcBcdegH	12n0336
S_3_1	abcBcDeF	12n0337
S_3_1	abcBdeehCDEG	12n0340
S_3_1	abcbdcEDCGHH	12n0347
S_3_1	abcdGHCdE	12n0348
S_3_1	abcdhCdE	12n0349
S_3_1	abAcbdcBGHCdE	12n0350
S_3_1	abcBdCeGh	12n0351
S_3_1	abCBEgHCD	12n0352
S_3_1	abAcBcDCEGh	12n0353
S_3_1	abAcbdCBGHCDE	12n0354
