S_1_1	aB	4_1
S_4_1	abcdCedFgJEf	12a1082
S_4_1	abcdCCedfEgJ	12a1084
S_4_1	abcBdCedFEGJ	12a1087
S_4_1	aabAcBDCedGJEF	12a1093
S_4_1	abcBDCedgJEf	12a1096
S_4_1	aBcBdCeDgjEf	12a1104
S_4_1	abcdeDGJeF	12a1141
S_4_1	abcdeFgjEF	12a1153
S_4_1	abcdCedJEDfEgF	12a1190
S_4_1	abcdCeDFgFEJef	12a1195
S_4_1	aBCDEFgJ	12n0037
S_4_1	abCDEFgJ	12n0040
S_4_1	abcDEFgJ	12n0043
S_4_1	abcdeDfegJ	12n0103
S_4_1	abcdeDGjeF	12n0104
S_4_1	abcdeDgjef	12n0105
S_4_1	abcdeDFEGJ	12n0106
S_4_1	abcdedfEgJ	12n0107
S_4_1	abcdeDGIjeF	12n0113
S_4_1	abcdeDfegIJ	12n0114
S_4_1	abcdeDGIjef	12n0115
S_4_1	aBCdefgj	12n0150
S_4_1	abAbCDEFGJ	12n0156
S_4_1	abCdefgj	12n0163
S_4_1	aBcdefgj	12n0172
S_4_1	abcBcDEFGJ	12n0182
S_4_1	abcBdceDfegJ	12n0185
S_4_1	abcBdceDGjeF	12n0186
S_4_1	abcBdceDgjef	12n0187
S_4_1	abcbdCeDfEgJ	12n0188
S_4_1	abcBdCeDFEGJ	12n0189
S_4_1	abcBdceDGIjeF	12n0190
S_4_1	abcBdceDfegIJ	12n0191
S_4_1	abcBdceDGIjef	12n0192
S_4_1	abcdeFGIj	12n0233
S_4_1	abcdefgIJ	12n0234
S_4_1	abcdefGIj	12n0235
S_4_1	aBccDCedFEGJ	12n0283
S_4_1	aBcDCedFgjEf	12n0287
S_4_1	abcdCeDfEgHj	12n0294
S_4_1	aBcDCedFEGHJ	12n0296
S_4_1	abcDCedFEGHJ	12n0301
S_4_1	aBcdCedfEghj	12n0387
S_4_1	abAcbdCeDfEDgj	12n0405
S_4_1	aabAcBDCeDGJEF	12n0425
S_4_1	abAcbdCedfeDgj	12n0426
S_4_1	abAcbdCedfEgFj	12n0428
S_4_1	abccDCedFEGJ	12n0458
S_4_1	abcDCedFgjEf	12n0459
S_4_1	abAbcDCeDFEGHJ	12n0494
S_4_1	abAbcbDCedFEGJ	12n0504
S_4_1	abcdCeDfEEgj	12n0509
S_4_1	abbcDCBeDcFEGJ	12n0521
S_4_1	abcBdCeDfGjEFG	12n0531
S_4_1	abcdedfeGFEIJ	12n0570
S_4_1	abcdeDfgjEFGI	12n0571
S_4_1	abcdeDfEgj	12n0590
S_4_1	abcdedfEgj	12n0591
S_4_1	abcdedFEGj	12n0592
S_4_1	abcbDCeDFEGJ	12n0599
S_4_1	abcdCCedfEgj	12n0603
S_4_1	abcBdCeDfEgj	12n0609
S_4_1	abcdeDGJEF	12n0610
S_4_1	abcBdceDfegj	12n0647
S_4_1	abcdCedFgjEf	12n0653
S_4_1	aabAcbdCeDFEGJ	12n0657
S_4_1	abcdCedfedJEFG	12n0668
S_4_1	abcdCedfGFEJef	12n0686
S_4_1	abcdcedJEDfEgF	12n0703
S_4_1	abcbdCedFEGIJ	12n0708
S_4_1	abcdCeDFEGJefG	12n0711
S_4_1	abcdCeDfGFEJeF	12n0754
S_4_1	abcbdCedFEGJ	12n0787
S_4_1	abcdCCeDfEgJ	12n0792
S_4_1	abcBdCeDfEgFeJ	12n0804
S_4_1	abcdedFEGIj	12n0821
S_4_1	abcdeDfegj	12n0850
S_5_1	abcdefgHIl	12a0146
S_5_1	abcdefEgfhGIJl	12a0576
S_5_1	abcdefghIJ	12a0716
S_5_1	abcdefghiJ	12a0722
S_5_1	abcdefGHIL	12a0835
S_5_1	abcdefghiL	12a0838
S_5_1	abcdefgfHGIL	12a0850
S_5_1	abcdefgFhGiL	12a0859
S_5_1	abcdeDfEgFhGiL	12a0909
S_5_1	abcdedfEgFHGIL	12a1120
S_5_1	abcdefGHIJ	12a1128
S_5_1	abcdefgHIJ	12a1134
S_5_1	abcdeFGHIJ	12a1273
S_5_1	abcdefEgFHGIJL	12a1283
S_5_1	abcdefghil	12n0242
S_5_1	abcdefEgfhGijl	12n0574
